,State,Area,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Rape (legacy definition),Aggravated assault
0,ALABAMA,Metropolitan Statistical Area,3692100.0,16204.0,232.0,1435.0,4131.0,1033.0,10406.0
1,ALABAMA,Cities outside metropolitan areas,529129.0,2605.0,17.0,294.0,363.0,214.0,1931.0
2,ALABAMA,Nonmetropolitan counties,628148.0,1247.0,22.0,199.0,86.0,133.0,940.0
4,ALASKA,Metropolitan Statistical Area,351408.0,2899.0,17.0,442.0,557.0,329.0,1883.0
5,ALASKA,Cities outside metropolitan areas,128681.0,722.0,3.0,128.0,45.0,93.0,546.0
6,ALASKA,Nonmetropolitan counties,256643.0,1037.0,21.0,196.0,25.0,128.0,795.0
8,ARIZONA,Metropolitan Statistical Area,6382968.0,24006.0,288.0,2762.0,6117.0,2024.0,14839.0
9,ARIZONA,Cities outside metropolitan areas,123617.0,1721.0,20.0,452.0,55.0,323.0,1194.0
10,ARIZONA,Nonmetropolitan counties,224899.0,433.0,1.0,13.0,24.0,10.0,395.0
12,ARKANSAS,Metropolitan Statistical Area,1818380.0,9939.0,109.0,958.0,1671.0,699.0,7201.0
13,ARKANSAS,Cities outside metropolitan areas,507788.0,2349.0,27.0,383.0,284.0,227.0,1655.0
14,ARKANSAS,Nonmetropolitan counties,640201.0,1340.0,23.0,296.0,42.0,170.0,979.0
16,CALIFORNIA,Metropolitan Statistical Area,37970617.0,150171.0,1652.0,11088.0,48278.0,8096.0,89153.0
17,CALIFORNIA,Cities outside metropolitan areas,268396.0,1524.0,16.0,168.0,257.0,126.0,1083.0
18,CALIFORNIA,Nonmetropolitan counties,563487.0,1993.0,31.0,270.0,138.0,175.0,1554.0
20,COLORADO,Metropolitan Statistical Area,4664010.0,15229.0,126.0,2700.0,2952.0,1943.0,9451.0
21,COLORADO,Cities outside metropolitan areas,334211.0,735.0,15.0,191.0,60.0,96.0,469.0
22,COLORADO,Nonmetropolitan counties,357645.0,398.0,8.0,104.0,12.0,51.0,274.0
24,CONNECTICUT,Metropolitan Statistical Area,2948198.0,8068.0,82.0,686.0,3106.0,513.0,4194.0
25,CONNECTICUT,Cities outside metropolitan areas,115968.0,108.0,2.0,11.0,22.0,8.0,73.0
26,CONNECTICUT,Nonmetropolitan counties,532511.0,346.0,2.0,85.0,31.0,50.0,228.0
28,DELAWARE,Metropolitan Statistical Area,935614.0,4575.0,54.0,385.0,1269.0,249.0,2867.0
32,DISTRICT OF COLUMBIA,Metropolitan Statistical Area,658893.0,8199.0,105.0,472.0,3497.0,352.0,4125.0
35,FLORIDA,Metropolitan Statistical Area,19186005.0,104161.0,1133.0,8298.0,24552.0,5872.0,70178.0
36,FLORIDA,Cities outside metropolitan areas,148283.0,921.0,4.0,53.0,163.0,38.0,701.0
37,FLORIDA,Nonmetropolitan counties,559009.0,2159.0,11.0,184.0,154.0,121.0,1810.0
39,GEORGIA,Metropolitan Statistical Area,8320348.0,32097.0,508.0,2487.0,11368.0,1769.0,17734.0
40,GEORGIA,Cities outside metropolitan areas,662709.0,3041.0,30.0,255.0,704.0,188.0,2052.0
41,GEORGIA,Nonmetropolitan counties,1114286.0,2179.0,36.0,215.0,175.0,134.0,1753.0
43,HAWAII,Metropolitan Statistical Area,1156263.0,2901.0,15.0,310.0,994.0,225.0,1582.0
45,HAWAII,Nonmetropolitan counties,263298.0,779.0,11.0,135.0,113.0,89.0,520.0
47,IDAHO,Metropolitan Statistical Area,1086169.0,2431.0,18.0,433.0,157.0,318.0,1823.0
48,IDAHO,Cities outside metropolitan areas,250458.0,628.0,4.0,111.0,36.0,93.0,477.0
49,IDAHO,Nonmetropolitan counties,297837.0,408.0,10.0,65.0,11.0,57.0,322.0
51,ILLINOIS,Metropolitan Statistical Area,11380871.0,43827.0,656.0,3577.0,14844.0,2647.0,24750.0
52,ILLINOIS,Cities outside metropolitan areas,832015.0,2049.0,15.0,296.0,184.0,221.0,1554.0
53,ILLINOIS,Nonmetropolitan counties,667694.0,599.0,3.0,114.0,23.0,78.0,459.0
55,INDIANA,Metropolitan Statistical Area,5123600.0,20655.0,289.0,1742.0,6514.0,1283.0,12110.0
56,INDIANA,Cities outside metropolitan areas,520959.0,923.0,2.0,136.0,102.0,103.0,683.0
57,INDIANA,Nonmetropolitan counties,952296.0,764.0,19.0,90.0,36.0,70.0,619.0
59,IOWA,Metropolitan Statistical Area,1816911.0,5597.0,37.0,761.0,916.0,576.0,3883.0
60,IOWA,Cities outside metropolitan areas,601521.0,1811.0,15.0,220.0,106.0,151.0,1470.0
61,IOWA,Nonmetropolitan counties,688694.0,726.0,5.0,90.0,9.0,62.0,622.0
63,KANSAS,Metropolitan Statistical Area,1950218.0,7209.0,75.0,985.0,1202.0,756.0,4947.0
64,KANSAS,Cities outside metropolitan areas,612758.0,2062.0,11.0,325.0,132.0,251.0,1594.0
65,KANSAS,Nonmetropolitan counties,341045.0,673.0,4.0,79.0,14.0,51.0,576.0
67,KENTUCKY,Metropolitan Statistical Area,2574779.0,7057.0,100.0,727.0,2827.0,420.0,3403.0
68,KENTUCKY,Cities outside metropolitan areas,538647.0,869.0,11.0,173.0,315.0,135.0,370.0
69,KENTUCKY,Nonmetropolitan counties,1300031.0,1378.0,49.0,534.0,182.0,323.0,613.0
71,LOUISIANA,Metropolitan Statistical Area,3882923.0,20348.0,413.0,1148.0,5252.0,833.0,13535.0
72,LOUISIANA,Cities outside metropolitan areas,274036.0,1702.0,30.0,85.0,253.0,62.0,1334.0
73,LOUISIANA,Nonmetropolitan counties,492717.0,1225.0,25.0,105.0,91.0,66.0,1004.0
75,MAINE,Metropolitan Statistical Area,783169.0,984.0,13.0,247.0,215.0,187.0,509.0
76,MAINE,Cities outside metropolitan areas,266485.0,476.0,4.0,158.0,71.0,121.0,243.0
77,MAINE,Nonmetropolitan counties,280435.0,240.0,4.0,80.0,18.0,52.0,138.0
79,MARYLAND,Metropolitan Statistical Area,5823196.0,26186.0,360.0,1583.0,9488.0,1118.0,14755.0
80,MARYLAND,Cities outside metropolitan areas,53207.0,310.0,2.0,23.0,43.0,18.0,242.0
81,MARYLAND,Nonmetropolitan counties,100004.0,165.0,3.0,13.0,13.0,8.0,136.0
83,MASSACHUSETTS,Metropolitan Statistical Area,6646017.0,25694.0,131.0,2093.0,5940.0,1576.0,17530.0
84,MASSACHUSETTS,Cities outside metropolitan areas,91692.0,237.0,0.0,30.0,20.0,12.0,187.0
85,MASSACHUSETTS,Nonmetropolitan counties,7699.0,12.0,0.0,9.0,0.0,6.0,3.0
87,MICHIGAN,Metropolitan Statistical Area,8107118.0,37965.0,504.0,4630.0,7858.0,2989.0,24973.0
88,MICHIGAN,Cities outside metropolitan areas,603680.0,1324.0,8.0,496.0,71.0,309.0,749.0
89,MICHIGAN,Nonmetropolitan counties,1199079.0,2554.0,20.0,971.0,44.0,625.0,1519.0
91,MINNESOTA,Metropolitan Statistical Area,4216484.0,10578.0,77.0,1494.0,3530.0,1095.0,5477.0
92,MINNESOTA,Cities outside metropolitan areas,490823.0,1110.0,7.0,269.0,127.0,199.0,707.0
