,State,Area,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Rape (legacy definition),Aggravated assault
93,MINNESOTA,Nonmetropolitan counties,749866.0,816.0,4.0,238.0,30.0,158.0,544.0
95,MISSISSIPPI,Metropolitan Statistical Area,1365250.0,3137.0,104.0,400.0,1214.0,299.0,1419.0
96,MISSISSIPPI,Cities outside metropolitan areas,588934.0,1404.0,40.0,150.0,444.0,111.0,770.0
97,MISSISSIPPI,Nonmetropolitan counties,1039895.0,716.0,23.0,115.0,72.0,73.0,506.0
99,MISSOURI,Metropolitan Statistical Area,4507971.0,22257.0,348.0,2002.0,5295.0,1441.0,14612.0
100,MISSOURI,Cities outside metropolitan areas,665780.0,2649.0,22.0,217.0,255.0,160.0,2155.0
101,MISSOURI,Nonmetropolitan counties,889838.0,1940.0,33.0,160.0,41.0,105.0,1706.0
103,MONTANA,Metropolitan Statistical Area,362656.0,1049.0,14.0,191.0,133.0,145.0,711.0
104,MONTANA,Cities outside metropolitan areas,215364.0,1169.0,14.0,196.0,42.0,160.0,917.0
105,MONTANA,Nonmetropolitan counties,445559.0,1003.0,8.0,138.0,25.0,114.0,832.0
107,NEBRASKA,Metropolitan Statistical Area,1210548.0,4086.0,42.0,588.0,987.0,427.0,2469.0
108,NEBRASKA,Cities outside metropolitan areas,338087.0,817.0,4.0,191.0,45.0,139.0,577.0
109,NEBRASKA,Nonmetropolitan counties,332868.0,214.0,6.0,41.0,4.0,24.0,163.0
111,NEVADA,Metropolitan Statistical Area,2565531.0,17199.0,157.0,1233.0,5903.0,909.0,9906.0
112,NEVADA,Cities outside metropolitan areas,48964.0,348.0,4.0,45.0,17.0,34.0,282.0
113,NEVADA,Nonmetropolitan counties,224604.0,486.0,9.0,76.0,33.0,50.0,368.0
115,NEW HAMPSHIRE,Metropolitan Statistical Area,830790.0,1702.0,11.0,323.0,421.0,250.0,947.0
116,NEW HAMPSHIRE,Cities outside metropolitan areas,442983.0,684.0,1.0,206.0,93.0,158.0,384.0
117,NEW HAMPSHIRE,Nonmetropolitan counties,53040.0,62.0,0.0,14.0,2.0,9.0,46.0
119,NEW JERSEY,Metropolitan Statistical Area,8938175.0,23346.0,349.0,1274.0,10498.0,953.0,11225.0
123,NEW MEXICO,Metropolitan Statistical Area,1390853.0,8653.0,63.0,1031.0,1771.0,751.0,5788.0
124,NEW MEXICO,Cities outside metropolitan areas,397993.0,2847.0,28.0,338.0,259.0,252.0,2222.0
125,NEW MEXICO,Nonmetropolitan counties,296726.0,828.0,8.0,91.0,46.0,58.0,683.0
127,NEW YORK,Metropolitan Statistical Area,18339380.0,72890.0,588.0,4591.0,23787.0,3349.0,43924.0
128,NEW YORK,Cities outside metropolitan areas,518307.0,1187.0,10.0,229.0,190.0,168.0,758.0
129,NEW YORK,Nonmetropolitan counties,888540.0,1204.0,18.0,577.0,47.0,376.0,562.0
131,NORTH CAROLINA,Metropolitan Statistical Area,7727957.0,25907.0,358.0,1946.0,7112.0,1410.0,16491.0
132,NORTH CAROLINA,Cities outside metropolitan areas,648863.0,3655.0,71.0,192.0,835.0,145.0,2557.0
133,NORTH CAROLINA,Nonmetropolitan counties,1567144.0,2673.0,72.0,261.0,350.0,168.0,1990.0
135,NORTH DAKOTA,Metropolitan Statistical Area,363187.0,1055.0,8.0,190.0,116.0,156.0,741.0
136,NORTH DAKOTA,Cities outside metropolitan areas,180439.0,683.0,12.0,130.0,47.0,95.0,494.0
137,NORTH DAKOTA,Nonmetropolitan counties,195856.0,221.0,2.0,38.0,10.0,25.0,171.0
139,OHIO,Metropolitan Statistical Area,9218545.0,28580.0,406.0,3963.0,11782.0,3274.0,12429.0
140,OHIO,Cities outside metropolitan areas,1049077.0,1525.0,19.0,371.0,364.0,314.0,771.0
141,OHIO,Nonmetropolitan counties,1326541.0,1234.0,22.0,318.0,102.0,223.0,792.0
143,OKLAHOMA,Metropolitan Statistical Area,2526767.0,11796.0,141.0,1321.0,2680.0,960.0,7654.0
144,OKLAHOMA,Cities outside metropolitan areas,728921.0,3189.0,24.0,372.0,337.0,264.0,2456.0
145,OKLAHOMA,Nonmetropolitan counties,622363.0,759.0,10.0,84.0,31.0,53.0,634.0
147,OREGON,Metropolitan Statistical Area,3317292.0,7436.0,55.0,1114.0,1840.0,817.0,4427.0
148,OREGON,Cities outside metropolitan areas,306040.0,805.0,9.0,148.0,148.0,100.0,500.0
149,OREGON,Nonmetropolitan counties,346907.0,434.0,13.0,69.0,32.0,45.0,320.0
151,PENNSYLVANIA,Metropolitan Statistical Area,11296254.0,37560.0,587.0,3358.0,13252.0,2465.0,20363.0
152,PENNSYLVANIA,Cities outside metropolitan areas,688032.0,1470.0,6.0,136.0,150.0,102.0,1178.0
153,PENNSYLVANIA,Nonmetropolitan counties,802923.0,1011.0,20.0,328.0,103.0,216.0,560.0
155,PUERTO RICO,Metropolitan Statistical Area,3394621.0,8134.0,657.0,55.0,5062.0,41.0,2360.0
156,PUERTO RICO,Cities outside metropolitan areas,153776.0,249.0,24.0,1.0,109.0,0.0,115.0
158,RHODE ISLAND,Metropolitan Statistical Area,1055173.0,2287.0,25.0,341.0,528.0,247.0,1393.0
162,SOUTH CAROLINA,Metropolitan Statistical Area,4078154.0,19644.0,252.0,1716.0,3423.0,1225.0,14253.0
163,SOUTH CAROLINA,Cities outside metropolitan areas,208220.0,1677.0,19.0,104.0,307.0,81.0,1247.0
164,SOUTH CAROLINA,Nonmetropolitan counties,546108.0,2359.0,36.0,221.0,209.0,154.0,1893.0
166,SOUTH DAKOTA,Metropolitan Statistical Area,405686.0,1374.0,9.0,259.0,150.0,238.0,956.0
167,SOUTH DAKOTA,Cities outside metropolitan areas,218451.0,1168.0,6.0,163.0,43.0,139.0,956.0
168,SOUTH DAKOTA,Nonmetropolitan counties,229038.0,144.0,4.0,27.0,4.0,22.0,109.0
170,TENNESSEE,Metropolitan Statistical Area,5053537.0,33938.0,319.0,2154.0,6823.0,1575.0,24642.0
171,TENNESSEE,Cities outside metropolitan areas,516197.0,3203.0,21.0,183.0,312.0,144.0,2687.0
172,TENNESSEE,Nonmetropolitan counties,979618.0,2599.0,30.0,184.0,116.0,135.0,2269.0
174,TEXAS,Metropolitan Statistical Area,23907066.0,100224.0,1079.0,10227.0,30369.0,7407.0,58549.0
175,TEXAS,Cities outside metropolitan areas,1421341.0,5676.0,50.0,603.0,609.0,438.0,4414.0
176,TEXAS,Nonmetropolitan counties,1628551.0,3117.0,52.0,502.0,145.0,342.0,2418.0
178,UTAH,Metropolitan Statistical Area,2627376.0,5739.0,54.0,1290.0,1287.0,839.0,3108.0
179,UTAH,Cities outside metropolitan areas,140374.0,287.0,1.0,100.0,13.0,63.0,173.0
180,UTAH,Nonmetropolitan counties,175152.0,290.0,12.0,55.0,9.0,36.0,214.0
182,VERMONT,Metropolitan Statistical Area,215526.0,214.0,2.0,22.0,24.0,20.0,166.0
183,VERMONT,Cities outside metropolitan areas,207162.0,260.0,1.0,47.0,38.0,41.0,174.0
184,VERMONT,Nonmetropolitan counties,203874.0,148.0,7.0,41.0,8.0,38.0,92.0
186,VIRGINIA,Metropolitan Statistical Area,7266550.0,14412.0,284.0,1880.0,4039.0,1206.0,8209.0
187,VIRGINIA,Cities outside metropolitan areas,264412.0,694.0,15.0,113.0,144.0,65.0,422.0
188,VIRGINIA,Nonmetropolitan counties,795327.0,1225.0,39.0,317.0,107.0,161.0,762.0
190,WASHINGTON,Metropolitan Statistical Area,6347580.0,18604.0,159.0,2438.0,5439.0,1954.0,10568.0
191,WASHINGTON,Cities outside metropolitan areas,294301.0,944.0,7.0,170.0,148.0,144.0,619.0
192,WASHINGTON,Nonmetropolitan counties,419649.0,559.0,8.0,83.0,47.0,69.0,421.0
194,WEST VIRGINIA,Metropolitan Statistical Area,1138730.0,3310.0,44.0,333.0,530.0,175.0,2403.0
195,WEST VIRGINIA,Cities outside metropolitan areas,190438.0,425.0,6.0,29.0,29.0,22.0,361.0
196,WEST VIRGINIA,Nonmetropolitan counties,521158.0,1197.0,16.0,99.0,37.0,54.0,1045.0
198,WISCONSIN,Metropolitan Statistical Area,4251567.0,14725.0,142.0,1232.0,4918.0,851.0,8433.0
199,WISCONSIN,Cities outside metropolitan areas,637105.0,1019.0,11.0,214.0,73.0,163.0,721.0
200,WISCONSIN,Nonmetropolitan counties,868892.0,752.0,10.0,189.0,28.0,124.0,525.0
202,WYOMING,Metropolitan Statistical Area,178196.0,305.0,6.0,37.0,30.0,25.0,232.0
203,WYOMING,Cities outside metropolitan areas,246602.0,580.0,6.0,80.0,18.0,61.0,476.0
204,WYOMING,Nonmetropolitan counties,159355.0,222.0,4.0,50.0,5.0,35.0,163.0
