State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
,,2016,,"13,724",136,"1,127",,"4,930","7,531","48,427","7,795","31,619","9,013",639
,MODESTO,2015,"210,794",984,10,50,,235,689,"4,857",722,"3,294",841,28
,,2016,,"1,034",4,45,,240,745,"5,010",763,"3,412",835,31
,MORENO VALLEY,2015,"205,182",282,2,16,,125,139,"3,105",612,"2,025",468,5
,,2016,,469,5,4,,180,280,"3,052",433,"2,062",557,6
,MURRIETA,2015,"109,495",34,0,4,,15,15,903,145,641,117,5
, ,2016,,53,1,13,,8,31,812,131,575,106,5
,NORWALK,2015,"107,470",194,2,12,,69,111,942,169,553,220,1
,,2016,,203,3,17,,66,117,942,186,541,215,9
,OAKLAND,2015,"419,481","3,171",43,129,,"1,735","1,264","13,097","1,757","8,003","3,337",103
,,2016,,"2,952",28,128,,"1,509","1,287","11,450","1,440","6,431","3,579",91
,OCEANSIDE,2015,"176,319",313,6,33,,102,172,"2,156",264,"1,666",226,9
,,2016,,307,1,27,,76,203,"2,152",249,"1,659",244,7
,ONTARIO,2015,"170,274",263,2,14,,100,147,"2,545",444,"1,596",505,19
,,2016,,298,6,15,,102,175,"2,331",462,"1,383",486,15
,ORANGE,2015,"140,572",96,2,6,,31,57,"1,502",287,"1,042",173,4
,,2016,,104,0,13,,27,64,"1,282",227,871,184,6
,OXNARD,2015,"207,221",446,6,12,,193,235,"3,312",490,"2,430",392,12
,,2016,,450,8,29,,196,217,"3,291",509,"2,307",475,17
,PALMDALE,2015,"159,613",406,4,24,,121,257,"1,590",424,920,246,14
,,2016,,351,5,27,,93,226,"1,264",289,779,196,17
,PASADENA,2015,"141,815",204,1,28,,66,109,"1,951",409,"1,372",170,30
,,2016,,241,1,21,,78,141,"1,722",413,"1,145",164,38
,POMONA,2015,"154,410",402,7,35,,148,212,"2,333",328,"1,322",683,27
,,2016,,334,3,34,,133,164,"2,316",414,"1,333",569,12
,RANCHO CUCAMONGA,2015,"176,376",102,1,17,,37,47,"1,915",419,"1,327",169,4
,,2016,,119,0,18,,39,62,"2,072",483,"1,355",234,3
,RIALTO,2015,"103,590",207,1,19,,73,114,"1,020",310,410,300,8
,,2016,,254,2,9,,84,159,946,301,290,355,1
,RICHMOND,2015,"109,716",469,8,25,,227,209,"2,126",400,"1,078",648,15
,,2016,,474,9,40,,170,255,"1,805",361,809,635,18
,RIVERSIDE,2015,"323,064",679,3,63,,253,360,"4,949",781,"3,416",752,30
,,2016,,832,3,70,,289,470,"5,443",934,"3,589",920,27
,SACRAMENTO,2015,"489,717","1,830",25,50,,572,"1,183","8,056","1,798","4,858","1,400",62
,,2016,,"1,733",13,42,,536,"1,142","7,875","1,621","4,740","1,514",87
,SALINAS,2015,"158,185",589,12,40,,224,313,"2,361",456,"1,033",872,12
,,2016,,431,15,42,,120,254,"2,738",340,"1,521",877,4
,SAN BERNARDINO,2015,"216,477","1,213",16,45,,417,735,"5,053","1,564","2,185","1,304",30
,,2016,,"1,396",32,51,,444,869,"4,431","1,192","1,957","1,282",23
,SAN DIEGO,2015,"1,400,467","2,845",17,253,,659,"1,916","13,776","2,435","8,898","2,443",104
,,2016,,"2,644",24,297,,723,"1,600","14,865","2,493","9,412","2,960",138
,SAN FRANCISCO,2015,"863,782","3,452",24,174,,"1,896","1,358","27,669","2,688","21,470","3,511",160
,,2016,,"2,987",25,163,,"1,497","1,302","22,833","2,435","17,815","2,583",130
,SAN JOSE,2015,"1,031,458","1,700",11,178,,581,930,"12,717","2,466","6,605","3,646",60
,,2016,,"1,919",25,220,,583,"1,091","11,463","2,052","6,152","3,259",55
,SAN MATEO,2015,"104,306",118,0,5,,27,86,977,355,540,82,3
,,2016,,109,0,12,,22,75,"1,019",389,533,97,0
,SANTA ANA,2015,"337,304",773,6,69,,259,439,"3,618",392,"2,287",939,22
,,2016,,868,13,77,,267,511,"3,428",557,"1,923",948,18
,SANTA CLARA,2015,"123,562",79,0,6,,40,33,"1,848",280,"1,344",224,6
,,2016,,88,2,11,,32,43,"1,297",175,959,163,6
,SANTA CLARITA,2015,"211,132",168,7,19,,56,86,"1,412",293,997,122,10
,,2016,,156,2,25,,51,78,"1,476",325,963,188,5
,SANTA MARIA,2015,"104,355",214,4,26,,67,117,"1,466",328,804,334,4
,,2016,,270,7,20,,97,146,"1,371",233,815,323,3
,SANTA ROSA,2015,"175,738",312,2,40,,65,205,"2,313",324,"1,739",250,20
,,2016,,333,4,48,,58,223,"1,714",298,"1,192",224,11
,SIMI VALLEY,2015,"127,472",83,1,12,,20,50,801,132,613,56,5
,,2016,,88,0,17,,22,49,780,171,561,48,2
,STOCKTON,2015,"304,890","2,019",18,65,,570,"1,366","6,399","1,450","3,999",950,47
,,2016,,"2,158",25,57,,578,"1,498","5,912","1,130","3,949",833,42
,SUNNYVALE,2015,"152,443",78,0,17,,34,27,"1,231",302,778,151,7
,,2016,,68,0,8,,21,39,"1,012",266,629,117,9
,TEMECULA,2015,"111,673",51,0,5,,20,26,"1,503",266,"1,077",160,1
,,2016,,62,2,3,,27,30,"1,238",165,912,161,1
,THOUSAND OAKS,2015,"129,976",65,0,18,,12,35,830,131,638,61,4
,,2016,,83,0,16,,17,50,761,109,605,47,4
,TORRANCE,2015,"149,243",104,1,20,,36,47,"1,418",272,980,166,1
,,2016,,116,0,12,,58,46,"1,568",208,"1,173",187,3
,VALLEJO,2015,"121,257",502,8,55,,154,285,"2,449","1,084",852,513,17
,,2016,,517,10,48,,167,292,"2,419","1,120",691,608,36
,VENTURA,2015,"110,077",196,1,32,,53,110,"1,945",327,"1,493",125,8
,,2016,,183,4,28,,46,105,"1,854",325,"1,382",147,3
,VICTORVILLE,2015,"123,332",379,4,33,,96,246,"1,901",543,"1,080",278,23
,,2016,,314,4,21,,95,194,"1,833",452,"1,125",256,10
,VISALIA,2015,"130,405",309,3,57,,75,174,"1,982",427,"1,315",240,10
,,2016,,264,2,29,,53,180,"1,969",492,"1,137",340,1
